GUSTAVO A. MADERO,13,1,5/10/2013
IZTAPALAPA,26,4,5/10/2013
IZTAPALAPA,40,3,5/10/2013
MILPA ALTA,28,1,5/10/2013
TLALPAN,31,2,5/10/2013
VENUSTIANO CARRANZA,3,1,5/10/2013
XOCHIMILCO,32,1,5/10/2013
ALVARO OBREGON,17,5,5/11/2013
ALVARO OBREGON,18,1,5/11/2013
ALVARO OBREGON,38,1,5/11/2013
AZCAPOTZALCO,19,6,5/11/2013
AZCAPOTZALCO,36,1,5/11/2013
BENITO JUAREZ,45,4,5/11/2013
BENITO JUAREZ,10,1,5/11/2013
COYOACAN,20,9,5/11/2013
CUAJIMALPA DE MORELOS,21,4,5/11/2013
CUAJIMALPA DE MORELOS,44,1,5/11/2013
CUAUHTEMOC,0,3,5/11/2013
CUAUHTEMOC,7,2,5/11/2013
CUAUHTEMOC,14,1,5/11/2013
CUAUHTEMOC,1,1,5/11/2013
GUSTAVO A. MADERO,22,2,5/11/2013
IZTACALCO,24,5,5/11/2013
IZTAPALAPA,25,6,5/11/2013
IZTAPALAPA,26,5,5/11/2013
IZTAPALAPA,40,3,5/11/2013
IZTAPALAPA,48,1,5/11/2013
MIGUEL HIDALGO,11,4,5/11/2013
MIGUEL HIDALGO,9,2,5/11/2013
MIGUEL HIDALGO,16,1,5/11/2013
TLAHUAC,29,4,5/11/2013
TLAHUAC,4,1,5/11/2013
TLALPAN,35,3,5/11/2013
TLALPAN,31,2,5/11/2013
TLALPAN,30,1,5/11/2013
XOCHIMILCO,32,6,5/11/2013
ALVARO OBREGON,38,1,5/12/2013
TLALPAN,31,1,5/12/2013
TLALPAN,35,1,5/12/2013
ALVARO OBREGON,46,2,5/13/2013
AZCAPOTZALCO,19,1,5/13/2013
BENITO JUAREZ,51,4,5/13/2013
BENITO JUAREZ,10,1,5/13/2013
CUAJIMALPA DE MORELOS,21,2,5/13/2013
CUAJIMALPA DE MORELOS,44,1,5/13/2013
CUAUHTEMOC,6,2,5/13/2013
CUAUHTEMOC,7,2,5/13/2013
GUSTAVO A. MADERO,50,7,5/13/2013
GUSTAVO A. MADERO,23,2,5/13/2013
GUSTAVO A. MADERO,13,1,5/13/2013
IZTAPALAPA,26,5,5/13/2013
MIGUEL HIDALGO,16,4,5/13/2013
TLALPAN,31,2,5/13/2013
VENUSTIANO CARRANZA,3,1,5/13/2013
ALVARO OBREGON,17,4,5/14/2013
AZCAPOTZALCO,19,1,5/14/2013
BENITO JUAREZ,10,4,5/14/2013
BENITO JUAREZ,12,4,5/14/2013
BENITO JUAREZ,51,2,5/14/2013
CUAJIMALPA DE MORELOS,21,1,5/14/2013
CUAUHTEMOC,8,3,5/14/2013
CUAUHTEMOC,7,2,5/14/2013
GUSTAVO A. MADERO,13,6,5/14/2013
GUSTAVO A. MADERO,22,2,5/14/2013
GUSTAVO A. MADERO,23,2,5/14/2013
GUSTAVO A. MADERO,50,1,5/14/2013
GUSTAVO A. MADERO,33,1,5/14/2013
IZTACALCO,34,2,5/14/2013
IZTAPALAPA,48,7,5/14/2013
IZTAPALAPA,26,3,5/14/2013
MIGUEL HIDALGO,9,3,5/14/2013
MIGUEL HIDALGO,11,1,5/14/2013
MIGUEL HIDALGO,16,1,5/14/2013
XOCHIMILCO,32,2,5/14/2013
ALVARO OBREGON,17,4,5/15/2013
ALVARO OBREGON,18,3,5/15/2013
AZCAPOTZALCO,47,2,5/15/2013
AZCAPOTZALCO,19,1,5/15/2013
BENITO JUAREZ,51,3,5/15/2013
BENITO JUAREZ,10,2,5/15/2013
BENITO JUAREZ,45,1,5/15/2013
COYOACAN,20,10,5/15/2013
CUAJIMALPA DE MORELOS,21,2,5/15/2013
CUAUHTEMOC,8,2,5/15/2013
CUAUHTEMOC,7,2,5/15/2013
CUAUHTEMOC,1,1,5/15/2013
GUSTAVO A. MADERO,13,6,5/15/2013
GUSTAVO A. MADERO,33,6,5/15/2013
GUSTAVO A. MADERO,23,3,5/15/2013
IZTACALCO,34,4,5/15/2013
IZTACALCO,24,1,5/15/2013
IZTAPALAPA,25,8,5/15/2013
IZTAPALAPA,26,3,5/15/2013
IZTAPALAPA,40,1,5/15/2013
MIGUEL HIDALGO,41,2,5/15/2013
MIGUEL HIDALGO,16,2,5/15/2013
MIGUEL HIDALGO,11,1,5/15/2013
TLAHUAC,4,4,5/15/2013
TLALPAN,31,4,5/15/2013
TLALPAN,30,4,5/15/2013
TLALPAN,35,3,5/15/2013
VENUSTIANO CARRANZA,2,11,5/15/2013
VENUSTIANO CARRANZA,3,5,5/15/2013
XOCHIMILCO,32,4,5/15/2013
ALVARO OBREGON,17,5,5/16/2013
ALVARO OBREGON,18,4,5/16/2013
AZCAPOTZALCO,47,5,5/16/2013
AZCAPOTZALCO,19,2,5/16/2013
BENITO JUAREZ,12,5,5/16/2013
BENITO JUAREZ,51,4,5/16/2013
BENITO JUAREZ,10,3,5/16/2013
COYOACAN,20,10,5/16/2013
COYOACAN,49,6,5/16/2013
CUAJIMALPA DE MORELOS,21,3,5/16/2013
CUAUHTEMOC,0,8,5/16/2013
CUAUHTEMOC,1,5,5/16/2013
CUAUHTEMOC,7,3,5/16/2013
CUAUHTEMOC,6,2,5/16/2013
GUSTAVO A. MADERO,13,8,5/16/2013
GUSTAVO A. MADERO,23,5,5/16/2013
GUSTAVO A. MADERO,22,3,5/16/2013
GUSTAVO A. MADERO,50,1,5/16/2013
IZTACALCO,34,6,5/16/2013
IZTACALCO,24,4,5/16/2013
IZTAPALAPA,25,8,5/16/2013
IZTAPALAPA,26,3,5/16/2013
MAGDALENA CONTRERAS,27,7,5/16/2013
MIGUEL HIDALGO,9,4,5/16/2013
MIGUEL HIDALGO,16,3,5/16/2013
TLAHUAC,29,6,5/16/2013
TLALPAN,35,4,5/16/2013
TLALPAN,30,4,5/16/2013
TLALPAN,31,3,5/16/2013
